,Show,Gross,Average ticket price,Seats sold,Previews,Regular shows,Total performances
101,AN ENEMY OF THE PEOPLE,1967382,47,41886,26,59,85
102,AN EVENING WITH JERRY HERMAN,365391,34,11345,13,28,41
103,AN EVENING WITH PATTI LUPONE AND MANDY PATINKIN,3740974,90,41613,6,57,63
104,AN IDEAL HUSBAND,7755341,35,220920,7,307,314
105,AN INSPECTOR CALLS,14597764,0,347361,13,454,467
106,ANASTASIA,93439880,105,881733,34,808,842
107,ANGELS IN AMERICA,40937028,20,658578,72,697,769
108,ANN,5251537,63,84060,19,132,151
109,ANNA CHRISTIE,1138978,0,37992,24,53,77
110,ANNA IN THE TROPICS,3115592,46,67446,15,113,128
111,ANNA KARENINA,569861,0,31895,18,46,64
112,ANNIE,59051957,86,677853,38,487,525
113,ANNIE - 1997,12836836,51,253160,14,239,253
114,ANNIE GET YOUR GUN,82148713,58,1415850,35,1045,1080
115,ANY GIVEN DAY,420620,0,24691,16,32,48
116,ANYTHING GOES,47288859,91,515954,32,521,553
117,ANYTHING GOES 1987-1989,30293686,0,815629,44,784,828
118,ARCADIA,4881785,63,78061,20,108,128
119,Arcadia 1995,5818602,0,174341,31,173,204
120,AREN'T WE ALL,3208200,0,98681,19,93,112
121,ARMS AND THE MAN,1231248,0,65324,23,109,132
122,ARSENIC AND OLD LACE,3860980,0,204249,7,221,228
123,ART,24287247,45,529168,20,600,620
124,ARTIST DESCENDING A STAIRCASE,478626,0,16636,11,36,47
125,AS IS,2384737,0,133617,6,286,292
126,AS LONG AS WE BOTH SHALL LAUGH,330477,24,14257,9,15,24
127,ASINAMALI,132801,0,9007,11,28,39
128,ASPECTS OF LOVE,16026804,0,369318,22,377,399
129,ASSASSINS,6024383,57,106080,26,101,127
130,AUGUST: OSAGE COUNTY,32835606,70,463842,18,648,666
131,AVENUE Q,121918918,70,1731068,22,2534,2556
132,AWAKE AND SING!,3384141,45,74205,27,80,107
133,AZNAVOUR,1331285,54,24766,1,23,24
134,BABY,453966,0,17214,0,32,32
135,BABY IT'S YOU!,9111694,57,159952,33,148,181
136,BAND IN BERLIN,383380,37,10438,19,17,36
137,BANDSTAND,13487288,83,162335,24,166,190
